Game Title	Year Published	Question Category	Difficulty (easy, medium, hard, children)	Type (true or false, multiple choice)	Value (points)	Question	Correct	Incorrect 1	Incorrect 2	Incorrect 3
Seek	1958	Old Testament	Medium	Multiple Choice	15	Choose: The last book in the Old Testament is 1) Malachi, 2) Revelations, or 3) Micah	1) Malachi	2) Revelations	3) Micah	
Seek	1958	Old Testament	Easy	Traditional	15	Who is the author of the first five books in the Old Testament	Moses			
Seek	1958	Old Testament	Medium	Traditional	15	Name the other two sons of Noah (besides Shem) who were saved in the Ark	Ham & Japeth			
Seek	1958	Old Testament	Medium	Traditional	15	Name the 5th book in the Old Testament	Deuteronomy			
Seek	1958	Old Testament	Medium	Multiple Choice	15	Choose: Seth was a son of 1) Jacob, 2) Adam, or 3) Moses?	2) Adam	1) Jacob	3) Moses	
Seek	1958	Old Testament	Easy	Traditional	15	Adam said he called his wife "Eve" because she was the mother of all _____	Living			
Seek	1958	Old Testament	Easy	Traditional	15	Name the other companion of Abednego and Meshack who was saved with them by the Lord from burning to death in the furnace of Nebuchadnezzar	Shadrack			
Seek	1958	Old Testament	Hard	Traditional	25	Who was the wicked queen that opposed Elijah?	Jezebel			
Seek	1958	Old Testament	Hard	Traditional	25	Name 3 of the 5 books in the Old Testament which are known as the poetry of the Bible	Job, Psalms, Proverbs, Ecclesiastes, Song of Solomon			
Seek	1958	Old Testament	Medium	Traditional	25	Complete: "Behold I will send you Elijah teh prophet before the coming of the great and dreadful day of the Lord: and he shall turn the heart of the ______ to the ______, and the heart of the _______ to their ______."	Fathers, children, children, fathers			
Seek	1958	Old Testament	Hard	Traditional	25	Name the country in which Melchizedek was king	Salem			
Seek	1958	Old Testament	Medium	Multiple Choice	25	Ruth said, "Wither thou goest, I will go; and where thou lodgest I will lodge; Thy people shall be my people, and thy God my God," to her:	3) Mother-in-Law	1) Father	2) Husband	
Seek	1958	Old Testament	Medium	Traditional	25	Name Moses' father-in-law, who conferred the priesthood upon Moses	Jethro			
Seek	1958	Old Testament	Medium	Traditional	25	Other prophets besides Joseph Smith have had a Urim and Thummim. Name one whose name starts with the letter "A" in the Old Testament	Aaron or Abraham			
Seek	1958	Old Testament	Hard	Traditional	25	In which book of the Old Testament do we find this quote: "The eart is the Lord's, and the fulness thereof; the world, and they that dwell therein"?	Psalms 24			
Seek	1958	Old Testament	Hard	Traditional	25	Name Ruth's mother-in-law	Naomi			
Seek	1958	Old Testament	Hard	Multiple Choice	25	Choose: Who wrote The Proverbs in the Old Testament? 1) David, 2) Jacob, 3) Solomon, 4) Isaiah	3) Solomon	1) David	2) Jacob	4) Isaiah
Seek	1958	Old Testament	Medium	Traditional	15	On what mountain did Moses recieve the Ten Commandments?	Sinai (Horeb)			
Seek	1958	Old Testament	Hard	Traditional	15	Complete: "Where there is no ______, the people perish."	Vision			
Seek	1958	Old Testament	Easy	Traditional	5	Complete: "Thou shalt not take the name of the Lord thy God in _____; for the Lord will not hold him guiltless that taketh his name in _____."	Vain, vain			
Seek	1958	Old Testament	Easy	Multiple Choice	5	In Noah's time there were many languages spoken	FALSE	TRUE		
Seek	1958	Old Testament	Easy	Traditional	10	What king of Israel is remebered for the beautiful temple he built?	Solomon			
Seek	1958	Old Testament	Easy	Multiple Choice	10	Choose one: Elijah is remembered for: 1) being taken to heaven in a chariot of fire, 2) as the city which was born into heaven, or 3) as the prophet who was leader after Moses' death?	1) being taken to heaven in a chariot of fire	2) as the city which was born into heaven	3) as the prophet who leader after Moses' death	
Seek	1958	Old Testament	Easy	Traditional	15	Before what tree did the Lord place cherubim and a flaming sword to prevent Adam from partaking and living forever?	Tree of Life			
Seek	1958	Old Testament	Children	Traditional	5	Who was commanded by the Lord to build an ark to escape the flood?	Noah			
Seek	1958	Old Testament	Easy	Traditional	10	Complete: God said, "Let us make man in ____ image."	Our			
Seek	1958	Old Testament	Medium	Traditional	15	Complete: "In the last days... the Lord's house shall be established in the top of the ____, and shall be exalted above the hills; and all nations shall flow unto it."	Mountains			
Seek	1958	Old Testament	Easy	Traditional	15	Name two books in the Old Testament that are named after women	Ruth and Esther			
Seek	1958	Old Testament	Medium	Traditional	10	Name the twin brother of Jacob	Esau			
Seek	1958	Old Testament	Medium	Traditional	10	Complete: "Remember the Sabbath day, to keep it ____. Six days shalt thou labor, and do all thy _____."	Holy, work			
Seek	1958	Old Testament	Hard	Traditional	15	Complete: "Surely the Lord God will do nothing, but he revealeth his secret unto his servants the _______."	Prophets			
Seek	1958	Old Testament	Medium	Multiple Choice	15	Choose: Deborah was 1) a Jewish Prophetess, 2) Isaiah's sister.	1) a Jewish Prophetess	2) Isaiah's sister		
Seek	1958	Old Testament	Easy	Multiple Choice	5	The first commandment God gave to man was to multiply and replenish the Earth	TRUE	FALSE		
Seek	1958	Old Testament	Easy	Multiple Choice	10	Choose: Another name for The First Book of Moses is 1) Exodus, 2) Leviticus, 3) Genesis, 4) Judges	3) Genesis	1) Exodus	2) Leviticus	4) Judges
Seek	1958	Old Testament	Hard	Traditional	15	Complete: "The Lord is my _____; I shall not want. He maketh me to lie down in green pastures; he ____ me beside te still waters."	Sheperd, leadeth			
Seek	1958	Old Testament	Children	Traditional	5	What prophet enabled the children of Israel to escape the Egyptians by causing the Red Sea to divide?	Moses			
Seek	1958	Old Testament	Easy	Multiple Choice	15	Choose: For what great event did the Jews commemorate the Feast of the Passover: 1) entry into the promised land, or 2) Sparing of the Israelite children when the first-born of the Egyptians were smitten?	2) Sparing of the Israelite children when the first-born of the Egyptians were smitten	1) Entry into the promised land		
Seek	1958	Old Testament	Easy	Multiple Choice	5	Choose one: 1) Cain, 2) Abel, or 3) Saul committed the first murder	1) Cain	2) Abel	3) Saul	
Seek	1958	Old Testament	Easy	Traditional	5	Name the second book in the Old Testament	Exodus			
Seek	1958	Old Testament	Hard	Multiple Choice	10	The animals shall increase in ferocity until they are all devoured during the Millennium	FALSE	TRUE		
Seek	1958	Old Testament	Easy	Traditional	5	What was the name of the Israelite baby whom the Pharoah's daughter found hidden in the bulrushes?	Moses			
Seek	1958	Old Testament	Medium	Multiple Choice	10	Jacob sold his birthright to his brother Esau for a mess of pottage.	FALSE	TRUE		
Seek	1958	Old Testament	Children	Multiple Choice	5	Choose one: Samson is remembered for 1) leading the Israelites out of Egypt, 2) being in love with Bathsheba, or 3) his great physical strength.	3) his great physical strength	1) leading the Israelites out of Egypt	2) being in love with Bathsheba	
Seek	1958	Old Testament	Easy	Multiple Choice	10	Choose: The father of Isaac was 1) Jacob, 2) Abraham, 3) Joseph	2) Abraham	1) Jacob	3) Joseph	
Seek	1958	Old Testament	Easy	Multiple Choice	5	Choose one: The Psalmist said of the Savior: "They pierced my hands and my feet." This refers to the manner of 1) birth, 2) baptism, or 3) death of the Lord	3) death of the Lord	1) birth	2) baptism	
Seek	1958	Old Testament	Children	Multiple Choice	5	God considers it a great evil to worship false gods or to bow down to graven images and statues	TRUE	FALSE		
Seek	1958	Old Testament	Hard	Traditional	25	Name the Syrian army captain whom the prophet Elisha cured of leprosy	Naaman			
Seek	1958	Old Testament	Children	Multiple Choice	15	Jesus Christ is the God of the Old Testament	TRUE	FALSE		
Seek	1958	Old Testament	Easy	Multiple Choice	10	Choose: The man who assisted Moses in leading the childre of Israel to the promised land was 1) Nephi, 2) Joseph, 3) Samuel, 4) Aaron	4) Aaron	1) Nephi	2) Joseph	3) Samuel
Seek	1958	New Testament	Easy	Multiple Choice	10	The Bible teaches that Jesus assisted in the creation of the Earth	TRUE	FALSE		
Seek	1958	New Testament	Easy	Multiple Choice	5	Only people who have been baptized will be resurrected	FALSE	TRUE		
Seek	1958	New Testament	Easy	Multiple Choice	5	There were teachers and deacons, elders, seventies, and high priests in the Church in the days of the apostles	TRUE	FALSE		
Seek	1958	New Testament	Children	Traditional	5	Who was the first man to be resurrected?	Jesus			
Seek	1958	New Testament	Easy	Multiple Choice	5	John the Apostle and John the Baptist are the same person	FALSE	TRUE		
Seek	1958	New Testament	Easy	Traditional	15	How did the apostles confer the Gift of the Holy Ghost?	By the laying on of hands			
Seek	1958	New Testament	Easy	Multiple Choice	10	Jesus told His apostles that the word of God would never be taught to people who were already dead	FALSE	TRUE		
Seek	1958	New Testament	Easy	Traditional	15	What did the Lord give the apostles when He said, "This is my body which is given for you; this do in remeberance of me"?	Bread			
Seek	1958	New Testament	Easy	Multiple Choice	10	John the Baptist and John the Revelator are the same person	FALSE	TRUE		
Seek	1958	New Testament	Medium	Multiple Choice	10	Paul taught that Apostles and Propehts were the foundation of the church	TRUE	FALSE		
Seek	1958	New Testament	Medium	Multiple Choice	10	John the Baptist conferred the Holy Ghost on those he baptized	FALSE	TRUE		
Seek	1958	New Testament	Medium	Multiple Choice	10	An apostle is any one who is a follower of Jesus	FALSE	TRUE		
Seek	1958	New Testament	Medium	Traditional	15	Blessed are the _______: for they shall be called the children of God.	Peacemakers			
Seek	1958	New Testament	Easy	Multiple Choice	10	There are no scriptures missing from the Bible	FALSE	TRUE		
Seek	1958	New Testament	Easy	Traditional	10	Complete: "If any of you lack _____ let his ask of God, that giveth to all men liberally, and upbraideth not; and it shall be _____ him."	Wisdom, Given			
Seek	1958	New Testament	Medium	Traditional	10	Were any of Christ's apostles married?	Yes			
